username,password,forename,surname,sex,title,birthdate,hire_date,job_description,town,county,postcode,phone_number,email
bceri,Passw0rd!30,Bryn,Ceri,F,Ms,03/08/1981,11/04/2011,Employee,Rhosneigr,Anglesey,LL77 5CQ,07481334691,bryn.ceri@example.com
nfychan,Passw0rd!44,Nia,Fychan,M,Dr,07/12/2000,02/06/2012,Employee,Newborough,Conwy,LL77 5MX,08197476819,nia.fychan@example.com
alloyd,Passw0rd!3,Aled,Lloyd,F,Ms,10/10/1987,27/02/2019,Employee,Rhosneigr,Conwy,LL77 1ES,09217399042,aled.lloyd@example.com
ndavies,Passw0rd!29,Nia,Davies,F,Dr,18/07/1981,13/11/2012,Manager,Llanddona,Gwynedd,LL77 7FA,07833665213,nia.davies@example.com
rthomas,Passw0rd!85,Rhian,Thomas,M,Dr,19/05/1988,04/03/2022,Employee,Llandegfan,Gwynedd,LL77 8IQ,07086894092,rhian.thomas@example.com
lglyn,Passw0rd!36,Llion,Glyn,F,Mr,07/04/1982,19/11/2013,Employee,Llanbadrig,Anglesey,LL77 6NT,08129578817,llion.glyn@example.com
iglyn,Passw0rd!77,Iwan,Glyn,F,Ms,15/12/1968,07/10/2012,Employee,Valley,Gwynedd,LL77 6WX,07738885422,iwan.glyn@example.com
aedwards,Passw0rd!62,Aled,Edwards,F,Dr,18/06/1969,22/12/2019,Manager,Newborough,Gwynedd,LL77 3ZP,09206055422,aled.edwards@example.com
jjones,Passw0rd!18,Jade,Jones,M,Dr,13/11/1983,01/05/2012,Employee,Bodedern,Anglesey,LL77 7AC,08682201901,jade.jones@example.com
wmorgan,Passw0rd!91,Wyn,Morgan,F,Dr,17/01/1961,23/08/2013,Manager,Llanbadrig,Gwynedd,LL77 3YF,07062856597,wyn.morgan@example.com
knia,Passw0rd!4,Katie,Nia,M,Dr,08/09/1976,06/09/2022,Manager,Beaumaris,Gwynedd,LL77 3HQ,07925838102,katie.nia@example.com
lrees,Passw0rd!29,Llion,Rees,M,Ms,11/03/1977,12/10/2011,Employee,Llanfairpwllgwyngyll,Gwynedd,LL77 5WL,07307690104,llion.rees@example.com
ledwards,Passw0rd!26,Llion,Edwards,M,Ms,09/08/1985,03/10/2013,Employee,Valley,Conwy,LL77 3HR,07968321196,llion.edwards@example.com
mdavies,Passw0rd!45,Megan,Davies,F,Ms,02/11/1964,19/05/2018,Employee,Holyhead,Conwy,LL77 6HV,08924076011,megan.davies@example.com
cowen,Passw0rd!40,Carys,Owen,F,Dr,14/09/1980,06/02/2012,Employee,Holyhead,Anglesey,LL77 1EY,07215959347,carys.owen@example.com
hwalters,Passw0rd!11,Huw,Walters,M,Dr,03/01/1970,03/05/2021,Manager,Menai Bridge,Gwynedd,LL77 9HA,09231510521,huw.walters@example.com
eroberts,Passw0rd!42,Elin,Roberts,F,Mrs,26/11/1988,03/06/2021,Manager,Llanerchymedd,Gwynedd,LL77 1ER,08402728038,elin.roberts@example.com
shedd,Passw0rd!67,Sian,Hedd,F,Mr,10/06/1982,13/08/2015,Manager,Llanddona,Conwy,LL77 3HK,09281210459,sian.hedd@example.com
mjones,Passw0rd!80,Megan,Jones,M,Mr,28/02/1976,09/01/2013,Manager,Valley,Gwynedd,LL77 9PD,09817492091,megan.jones@example.com
kroberts,Passw0rd!91,Katie,Roberts,F,Mrs,14/10/1988,22/04/2010,Manager,Cemaes,Gwynedd,LL77 9CE,09458330973,katie.roberts@example.com
fidris,Passw0rd!26,Ffion,Idris,F,Mrs,25/12/1988,15/01/2017,Employee,Pentraeth,Gwynedd,LL77 6OV,07666323714,ffion.idris@example.com
