username,password,forename,surname,sex,title,birthdate,town,county,postcode,phone_number,guardian_phone_number,email
Aneirin666,P@ssw0rd365,Gethin,Edwards,F,Mr,13/03/1965,Pentraeth,Conwy,LL77 3FL,09684539350,07284029863,gethin.edwards@example.com
Wyn891,P@ssw0rd121,Wyn,Ceredig,M,Mr,21/01/1973,Menai Bridge,Gwynedd,LL77 6RP,07537884511,07828221811,wyn.ceredig@example.com
Gethin345,P@ssw0rd223,Dyfan,Fychan,F,Ms,01/08/1971,Menai Bridge,Gwynedd,LL77 8CW,07491150729,08951903783,dyfan.fychan@example.com
Urien196,P@ssw0rd844,Ffion,Fychan,F,Mrs,04/01/1991,Llangefni,Conwy,LL77 2AL,07290717461,07517515722,ffion.fychan@example.com
Haf461,P@ssw0rd601,Mabon,Jenkins,F,Mr,07/11/1961,Gaerwen,Anglesey,LL77 3JR,09655639213,08578410992,mabon.jenkins@example.com
Cadell625,P@ssw0rd844,Cadell,Lloyd,F,Mrs,06/02/1966,Gaerwen,Anglesey,LL77 9SY,09672221865,08968754141,cadell.lloyd@example.com
Wyn356,P@ssw0rd285,Ffion,Edwards,M,Mrs,12/08/1998,Rhosneigr,Anglesey,LL77 7EE,09003778128,09419524939,ffion.edwards@example.com
Ynyr340,P@ssw0rd984,Llio,Stephens,F,Mrs,25/07/1992,Amlwch,Anglesey,LL77 6UC,09831095236,08997842657,llio.stephens@example.com
Gethin414,P@ssw0rd382,Ffion,Thomas,F,Ms,25/10/1991,Beaumaris,Anglesey,LL77 8NL,08188666066,07582012494,ffion.thomas@example.com
Nia799,P@ssw0rd925,Mabon,Jenkins,M,Mrs,10/08/1995,Llangefni,Gwynedd,LL77 6BA,07697332881,09069972562,mabon.jenkins@example.com
Zara736,P@ssw0rd390,Nia,Fychan,M,Ms,25/02/1967,Amlwch,Gwynedd,LL77 9PU,08336180811,08046583339,nia.fychan@example.com
Owain469,P@ssw0rd190,Haf,Edwards,M,Ms,06/11/1992,Holyhead,Gwynedd,LL77 9PA,09231114151,08181889290,haf.edwards@example.com
Llio557,P@ssw0rd241,Dyfan,Edwards,F,Mrs,21/10/1994,Benllech,Gwynedd,LL77 3UW,09173143122,09298431011,dyfan.edwards@example.com
Aneirin865,P@ssw0rd593,Branwen,Morgan,F,Mrs,25/03/1993,Beaumaris,Conwy,LL77 8YF,07061448044,09332944420,branwen.morgan@example.com
Branwen342,P@ssw0rd286,Branwen,Roberts,M,Mr,26/09/1981,Pentraeth,Conwy,LL77 3CN,09534367510,08719836836,branwen.roberts@example.com
Zara914,P@ssw0rd202,Dyfan,Morgan,F,Ms,03/12/1999,Pentraeth,Conwy,LL77 6YA,07718003178,08323247842,dyfan.morgan@example.com
Urien360,P@ssw0rd426,Nia,Neville,F,Ms,17/11/1967,Pentraeth,Anglesey,LL77 1YT,09965566737,07335402571,nia.neville@example.com
Eira881,P@ssw0rd476,Ffion,Owen,F,Ms,08/03/1981,Menai Bridge,Gwynedd,LL77 6AX,09781102814,09530947939,ffion.owen@example.com
Sioned480,P@ssw0rd803,Sioned,Price,M,Mrs,27/10/1966,Pentraeth,Anglesey,LL77 6NN,07444618997,07732516146,sioned.price@example.com
